C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Acorde
-3.834654,-33.604659,-16.725741,-38.876893,-17.892925,-17.149004,-29.652479,-14.631633,-23.772452,-27.136193,-23.582240,-26.166887,0.000000
-7.875083,-32.179072,-15.514933,-29.688733,-5.563710,-14.307443,-23.534170,-16.875515,-15.308486,-30.826764,-25.062870,-17.380234,0.000000
-6.325516,-36.280867,-17.488507,-35.498317,-12.808219,-30.923164,-28.970085,-13.254115,-17.245929,-30.873392,-26.236791,-14.474424,0.000000
-7.957999,-34.647776,-30.864385,-34.880210,-8.651516,-29.095631,-29.208614,-6.964465,-21.950671,-35.080180,-37.898364,-20.472684,0.000000
-10.039958,-36.172812,-31.982109,-27.744643,-12.934640,-28.399464,-15.849297,-6.889755,-18.627803,-26.557416,-30.291750,-24.296229,0.000000
-3.987003,-33.710602,-33.828619,-40.038594,-11.824816,-19.812834,-30.358168,-11.903688,-27.436437,-28.446541,-34.099876,-29.886846,0.000000
-7.358976,-35.478602,-25.933058,-31.255588,-7.145308,-34.937286,-20.650888,-7.180013,-20.513002,-32.579124,-35.931039,-25.742737,0.000000
-6.554553,-35.322180,-16.371773,-33.788711,-10.985312,-28.094196,-25.864229,-11.279256,-21.423828,-30.127659,-32.454849,-14.939975,0.000000
-5.181925,-31.889555,-22.345276,-40.840379,-25.907474,-19.537017,-34.454708,-15.461040,-25.854385,-33.793644,-30.123041,-27.151792,0.000000
-7.024487,-32.091769,-28.436783,-29.173940,-8.795745,-23.129180,-26.501732,-9.581807,-31.216081,-26.702242,-38.770107,-24.055422,0.000000
-6.731688,-32.250226,-26.096438,-33.392609,-8.587606,-13.788522,-26.658108,-8.916176,-32.019776,-43.080602,-31.904470,-19.446805,0.000000
-8.400387,-37.017738,-25.277495,-35.425652,-9.702997,-17.538293,-27.700037,-11.230601,-26.788906,-33.536158,-33.496491,-12.452733,0.000000
-7.414793,-34.744515,-30.158657,-31.600919,-8.769536,-22.123534,-27.741496,-7.309463,-32.486534,-41.548032,-31.232973,-25.248070,0.000000
-6.313831,-36.602290,-25.938497,-30.735046,-7.674661,-13.796935,-36.145272,-8.681335,-29.941546,-39.412973,-36.465373,-19.897105,0.000000
-8.217671,-36.318039,-22.104205,-33.604264,-8.459682,-26.513070,-25.945604,-13.077104,-25.578448,-30.718576,-30.563887,-12.767936,0.000000
-8.379372,-34.271266,-22.601359,-28.560658,-8.374121,-30.311693,-26.620292,-7.565694,-32.647244,-42.303657,-31.227485,-26.719377,0.000000
-7.610578,-34.470225,-32.688131,-31.038734,-6.676843,-28.885803,-42.582923,-5.335328,-38.056455,-41.741717,-33.793758,-21.689909,0.000000
-3.980778,-34.089186,-31.696883,-34.307425,-9.326610,-22.255066,-28.837288,-5.401572,-33.253221,-38.242660,-38.608543,-31.888309,0.000000
-7.602155,-36.275626,-25.507510,-38.880725,-8.369591,-18.331832,-25.477040,-9.952683,-27.273002,-38.266095,-28.474149,-14.250300,0.000000
-9.685882,-32.342077,-24.760074,-22.612815,-9.273940,-21.730309,-22.312614,-4.411353,-28.197675,-34.749397,-32.835718,-28.056934,0.000000
-9.650570,-33.861648,-25.641184,-30.635318,-9.082694,-19.398538,-23.836353,-11.734285,-27.733854,-34.399960,-34.536033,-12.947484,0.000000
-3.722771,-32.610225,-20.261787,-42.725136,-13.645726,-25.420700,-30.316531,-10.222747,-29.975254,-38.923408,-24.659552,-22.619972,0.000000
-4.390449,-37.900828,-21.706971,-37.190751,-13.093920,-21.381534,-27.930661,-8.934567,-31.129706,-37.537584,-28.470598,-27.461732,0.000000
-7.706317,-34.909754,-30.431957,-32.089803,-7.603377,-28.041791,-26.675571,-5.528072,-38.185513,-38.124726,-36.266100,-26.563216,0.000000
-7.406449,-36.533613,-26.793938,-33.462736,-10.003456,-26.672400,-21.138611,-8.582282,-19.465986,-35.212907,-27.850409,-10.792236,0.000000
-7.909558,-37.246765,-30.209397,-29.424245,-8.302961,-20.747534,-25.386860,-6.566910,-27.040323,-40.244413,-37.900266,-28.729014,0.000000
-6.218362,-34.160929,-20.539287,-36.117854,-11.343046,-14.457048,-25.840520,-9.944427,-30.621926,-30.439501,-25.140715,-24.400510,0.000000
-10.598802,-39.523169,-24.782569,-25.961152,-3.728589,-24.970546,-29.005527,-13.729814,-20.149908,-39.197767,-37.844764,-29.191769,0.000000
-2.686171,-30.414292,-36.187872,-39.022812,-9.487122,-10.284270,-43.600088,-34.310031,-29.543969,-29.337895,-34.218684,-27.189115,0.000000
-3.833934,-31.071913,-21.136919,-41.160815,-12.016396,-17.950407,-31.270166,-14.045073,-32.346032,-40.312442,-24.475205,-24.090330,0.000000
-8.558752,-37.440817,-23.057464,-27.290625,-8.054118,-24.880328,-24.164782,-6.117550,-31.396208,-40.684751,-37.405646,-26.405062,0.000000
-5.388598,-35.108809,-30.161182,-37.152482,-9.122117,-22.528369,-21.750628,-5.957113,-37.096171,-38.376141,-39.622497,-34.886123,0.000000
-10.237883,-35.256777,-25.941186,-22.927853,-8.850089,-23.125468,-18.373663,-5.346592,-27.804087,-31.607033,-31.457896,-22.847869,0.000000
-6.592686,-34.304599,-29.508870,-33.855274,-7.964257,-15.173799,-28.364821,-10.160578,-32.596523,-26.495615,-36.338743,-24.834529,0.000000
-8.129791,-29.936521,-20.746388,-29.301677,-8.878111,-17.366634,-28.074280,-10.894373,-28.176033,-22.049979,-38.288329,-21.556443,0.000000
-7.384253,-36.607047,-18.769087,-32.346808,-10.325457,-28.267079,-26.100450,-9.785787,-25.695220,-33.211661,-29.102781,-21.562665,0.000000
-7.006812,-33.154924,-33.685323,-26.503215,-8.549070,-19.769962,-29.107916,-10.321950,-28.452482,-37.970776,-35.260469,-29.866376,0.000000
-5.732168,-32.669976,-21.644909,-32.777448,-8.826717,-23.725132,-24.928898,-12.064145,-32.462140,-34.974517,-36.863889,-21.202669,0.000000
-7.713091,-34.064060,-20.536637,-23.494965,-6.256279,-20.401743,-29.501068,-7.498322,-22.833606,-37.184034,-28.676642,-20.931256,0.000000
-8.402371,-33.960430,-18.391471,-29.375794,-9.240578,-28.724316,-31.655459,-8.017563,-25.292664,-31.027604,-36.491811,-21.563995,0.000000
-4.216283,-37.433873,-25.941803,-33.549830,-13.369271,-24.080347,-27.678101,-5.561066,-30.300031,-39.193721,-30.693428,-34.233955,0.000000
-6.337665,-35.549110,-21.036407,-32.256762,-15.952411,-26.321844,-27.170592,-5.680817,-29.731606,-30.154482,-33.825798,-29.038489,0.000000
-10.815227,-33.005880,-16.825062,-22.644236,-7.498302,-20.960637,-19.411107,-7.688550,-23.761946,-31.206545,-29.266948,-22.892458,0.000000
-6.581749,-34.064888,-23.581011,-24.780756,-8.331507,-21.201830,-27.145996,-9.187856,-28.868806,-36.544810,-34.142842,-28.824932,0.000000
-5.869265,-35.226410,-17.891461,-36.794034,-9.986862,-17.395155,-35.295143,-7.670568,-24.471771,-39.645197,-34.115447,-18.765889,0.000000
-7.343857,-36.082151,-20.196710,-42.162210,-7.543922,-20.239967,-30.397298,-9.327830,-24.156281,-38.526404,-44.185490,-18.758678,0.000000
-10.601132,-34.750129,-15.769007,-30.202885,-6.800346,-18.962507,-29.325985,-6.844429,-29.813950,-34.695118,-37.358625,-22.860558,0.000000
-6.976098,-37.054364,-19.853084,-25.753728,-5.608842,-16.801329,-30.120612,-9.189248,-27.247047,-29.218697,-36.700958,-23.186954,0.000000
-8.292542,-34.559758,-16.326696,-28.093229,-9.389272,-13.706598,-26.659650,-8.634844,-21.237074,-29.774915,-34.204622,-19.864164,0.000000
-8.712017,-30.589401,-14.115918,-32.886342,-21.909517,-23.026430,-24.015784,-5.667785,-30.474120,-20.633149,-34.743407,-18.944393,0.000000
-9.268683,-34.711547,-11.775590,-30.603974,-13.865951,-27.856767,-28.541716,-4.479086,-25.011071,-32.752355,-36.511573,-17.490844,0.000000
-12.713623,-38.898147,-14.127374,-31.037683,-7.285950,-20.428682,-24.749330,-6.637664,-24.399683,-28.353560,-38.359522,-20.946900,0.000000
